date,station_id,actual_snow_mm,actual_category,forecast_probability,ensemble_score,regional_score,global_score,event_type,lead_time,primary_driver,forecast_hit
2025-03-06,eagle_river_wi,5.6000000000000005,trace,70,0.5599999999999999,0.7999999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2019-01-07,phelps_wi,9.66,trace,70,0.5966095581605049,0.8522993688007213,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2004-01-17,eagle_river_wi,24.5,significant,85,0.6635998494226408,0.8522993688007213,0.22330097087378642,ALBERTA CLIPPER,12-48 hours,Regional,True
2019-12-06,eagle_river_wi,7.0,trace,55,0.3159089387345162,0.40344827586206894,0.11165048543689321,QUIET,12-48 hours,Regional,True
2006-02-21,eagle_river_wi,6.3,trace,55,0.2769902912621359,0.3,0.22330097087378642,QUIET,12-48 hours,Regional,True
2018-11-17,eagle_river_wi,5.6000000000000005,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2015-04-10,eagle_river_wi,72.1,major,70,0.516,0.7371428571428572,0.0,LAKE EFFECT,12-48 hours,Regional,True
2002-03-02,eagle_river_wi,14.0,trace,70,0.558495145631068,0.7500000000000001,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2009-01-17,eagle_river_wi,39.2,significant,85,0.7349514563106796,1.0,0.11650485436893203,LAKE EFFECT,12-48 hours,Regional,True
2019-02-20,eagle_river_wi,47.599999999999994,significant,70,0.5599999999999999,0.7999999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2016-12-12,eagle_river_wi,11.899999999999999,trace,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2019-01-24,eagle_river_wi,9.8,trace,70,0.5199999999999999,0.7428571428571428,0.0,LAKE EFFECT,12-48 hours,Regional,True
2023-11-12,eagle_river_wi,9.1,trace,70,0.5366666666666666,0.7666666666666666,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2007-11-27,eagle_river_wi,14.7,trace,70,0.4417518248175182,0.6310740354535974,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2009-02-14,eagle_river_wi,10.5,trace,70,0.49485878199470423,0.659090909090909,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2020-01-23,eagle_river_wi,50.4,major,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2003-11-05,eagle_river_wi,5.6000000000000005,trace,70,0.5694951456310678,0.7657142857142857,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2017-05-02,eagle_river_wi,5.6000000000000005,trace,85,0.7334951456310679,1.0,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2003-11-13,eagle_river_wi,9.1,trace,70,0.49583333333333335,0.7083333333333334,0.0,LAKE EFFECT,12-48 hours,Regional,True
2021-11-30,eagle_river_wi,25.2,significant,85,0.604,0.8628571428571429,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2022-01-05,eagle_river_wi,68.60000000000001,major,85,0.7,1.0,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2003-04-01,eagle_river_wi,18.9,trace,70,0.4759999999999999,0.6799999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2001-02-10,eagle_river_wi,5.6000000000000005,trace,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2002-03-11,eagle_river_wi,7.7,trace,70,0.4751036970243462,0.6787195671776375,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2014-03-18,eagle_river_wi,10.5,trace,85,0.6199999999999999,0.8857142857142856,0.0,LAKE EFFECT,12-48 hours,Regional,True
2015-01-01,eagle_river_wi,9.8,trace,70,0.531730439748715,0.711764705882353,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2015-01-27,eagle_river_wi,6.3,trace,55,0.282,0.40285714285714286,0.0,LAKE EFFECT,12-48 hours,Regional,True
2012-01-13,eagle_river_wi,8.4,trace,70,0.46199999999999997,0.66,0.0,LAKE EFFECT,12-48 hours,Regional,True
2025-11-09,eagle_river_wi,8.4,trace,55,0.35291666666666666,0.5041666666666667,0.0,LAKE EFFECT,12-48 hours,Regional,True
2009-11-29,eagle_river_wi,23.799999999999997,significant,40,0.24349514563106794,0.3,0.11165048543689321,QUIET,12-48 hours,Regional,True
2022-04-21,eagle_river_wi,29.4,significant,70,0.470948905109489,0.6727841501564129,0.0,LAKE EFFECT,12-48 hours,Regional,True
2002-02-16,eagle_river_wi,11.200000000000001,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2018-11-29,eagle_river_wi,14.0,trace,70,0.4639999999999999,0.6628571428571428,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2014-04-14,phelps_wi,6.93,trace,85,0.644,0.92,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2006-12-29,eagle_river_wi,16.8,trace,70,0.52,0.7428571428571429,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2017-02-05,eagle_river_wi,8.4,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2008-12-09,eagle_river_wi,24.5,significant,70,0.5394951456310678,0.7228571428571428,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
